gsis_id,player,forecast_year,att_2023,epa_2023,mean,median,q05,q25,q75,q95,iqr,sigma_att,sigma_epa_att
00-0026498,Matthew Stafford,2024,521,55.03210787712951,37.56029858466549,35.71621596097144,-365.22178374992706,-117.72438746480603,187.4532354019314,442.8607308451989,305.17762286673747,180.41058327423664,55.47990081202294
00-0026498,Matthew Stafford,2025,521,55.03210787712951,32.58893319888487,23.604053720097504,-531.1433329123753,-185.89167813925235,254.5329635442175,612.8826794337116,440.4246416834699,180.41058327423664,55.47990081202294
00-0029263,Russell Wilson,2024,447,-16.336197524169002,37.84955522455213,36.09089312802112,-334.70814858905123,-110.00923769866728,181.42879491834051,413.8364216536148,291.4380326170078,81.02154595594254,52.48036774369346
00-0029263,Russell Wilson,2025,447,-16.336197524169002,43.267731157441766,43.51514806764965,-495.81794060290764,-160.44547682566673,251.19368008647325,590.5544485989102,411.63915691214,81.02154595594254,52.48036774369346
00-0029604,Kirk Cousins,2024,311,37.10304547110406,26.38981676623948,27.508429419156116,-370.8913341896223,-125.98662176120324,178.290154094877,421.1700768341983,304.27677585608023,168.98665896777445,55.47990081202294
00-0029604,Kirk Cousins,2025,311,37.10304547110406,21.44781326204559,24.214185414270954,-551.9997732589579,-201.14181653645804,240.1188305201784,591.996331546935,441.26064705663646,168.98665896777445,55.47990081202294
00-0030565,Geno Smith,2024,499,32.440536514174156,22.856762917207988,22.438121017959595,-143.6428125866246,-42.143519910068605,88.20417459686105,189.092996677585,130.34769450692966,180.41058327423664,22.442830948140458
00-0030565,Geno Smith,2025,499,32.440536514174156,22.79928212338713,22.736077454627285,-213.6685073227521,-68.94358873736124,113.86312106457396,257.7439141529791,182.8067098019352,180.41058327423664,22.442830948140458
00-0031280,Derek Carr,2024,548,25.91905731362155,36.51440930542962,39.89464374751682,-358.20303468233277,-117.93356701155392,187.58337840218547,426.3128409766162,305.5169454137394,66.15701021055894,54.91221324493248
00-0031280,Derek Carr,2025,548,25.91905731362155,37.37543239633816,30.37343434328023,-499.03729273219625,-179.8329012577796,244.31299083838795,597.4083600028032,424.1458920961676,66.15701021055894,54.91221324493248
00-0033077,Dak Prescott,2024,590,118.68906478811256,88.57237700096297,86.88531656842517,-307.3685442985613,-65.57465726574037,242.77100080867302,495.40079575212644,308.3456580744134,180.41058327423664,55.47990081202294
00-0033077,Dak Prescott,2025,590,118.68906478811256,89.78686129448158,80.94531051350086,-474.87366821766045,-130.33253065546964,307.5117995875455,641.1102152100243,437.8443302430152,180.41058327423664,55.47990081202294
00-0033106,Jared Goff,2024,605,81.67725091908035,69.32905981887461,68.63233116031819,-348.3304382604053,-88.20661548986766,227.95033086263263,475.66027195001004,316.1569463525003,115.6293338956117,55.47990081202294
00-0033106,Jared Goff,2025,605,81.67725091908035,71.00144633673335,66.96408267739733,-472.10992662624164,-134.7288263672905,283.8236158693974,621.2208556717759,418.55244223668785,115.6293338956117,55.47990081202294
00-0033873,Patrick Mahomes,2024,597,50.961515690338,115.79587525892302,109.23225980477747,-281.446707474303,-46.87080816467731,270.7154113239867,532.5518102866114,317.586219488664,180.41058327423664,55.47990081202294
00-0033873,Patrick Mahomes,2025,597,50.961515690338,111.986727622208,105.57369951371263,-462.8804302996725,-99.77556329924981,338.5293154853353,683.1374113972835,438.3048787845851,180.41058327423664,55.47990081202294
00-0033949,Joshua Dobbs,2024,417,-80.74965717074797,-5.937760840841556,-6.246846662463719,-358.87437774682354,-140.04390020897026,132.2389975214562,333.2382822568815,272.2828977304265,168.98665896777445,48.56028930129972
00-0033949,Joshua Dobbs,2025,417,-80.74965717074797,-4.627539105296283,-3.773468563002376,-502.4193091604785,-192.74469694074156,186.7815526831652,474.15628514587274,379.5262496239068,168.98665896777445,48.56028930129972
00-0034796,Lamar Jackson,2024,457,58.018588350006326,59.86592888892973,62.59449665894555,-344.4754830020823,-91.74100057450379,216.10120668851192,456.1808253318797,307.8422072630157,120.25514542006093,55.47990081202294
00-0034796,Lamar Jackson,2025,457,58.018588350006326,67.39369751841114,67.3305598914292,-491.3791736263141,-142.92128603438937,281.1221417018452,630.381137670433,424.04342773623455,120.25514542006093,55.47990081202294
00-0034855,Baker Mayfield,2024,566,50.66617850090984,32.3909140985866,30.162865576388477,-376.0105341129106,-129.76227214533804,190.425498394908,441.2965909935991,320.18777054024605,130.76314465475355,55.47990081202294
00-0034855,Baker Mayfield,2025,566,50.66617850090984,46.743161222512285,42.68329057820738,-516.0940332492047,-164.03071869120723,258.53005547827036,599.8474796040072,422.56077416947755,130.76314465475355,55.47990081202294
00-0034857,Josh Allen,2024,579,90.5337982197074,70.52273191741585,68.97791002289713,-325.2650660250184,-87.71481246242348,227.37335125443485,474.9613472495065,315.08816371685833,87.7866732482784,55.47990081202294
00-0034857,Josh Allen,2025,579,90.5337982197074,67.47928814967935,73.65062381847734,-493.372238236588,-150.17133463002222,278.99124880346227,619.0087210609956,429.1625834334845,87.7866732482784,55.47990081202294
00-0035289,Gardner Minshew,2024,490,-5.751706553653355,21.74058333921626,21.7258935499898,-210.0987766021938,-67.65092770194896,111.54901621674206,258.09723200114104,179.19994391869102,180.41058327423664,32.15561940359102
00-0035289,Gardner Minshew,2025,490,-5.751706553653355,24.481687775064398,22.120561923323134,-309.9721231466712,-104.50408313733475,153.31520651860612,362.228065559299,257.81928965594085,180.41058327423664,32.15561940359102
00-0036212,Tua Tagovailoa,2024,560,123.56834628780518,74.27677943214044,71.74026492351412,-130.32575197772766,-3.7550853533657156,153.79949325790002,282.3455248903675,157.55457861126575,74.32361670424818,27.000899257388646
00-0036212,Tua Tagovailoa,2025,560,123.56834628780518,80.6322503172235,80.8469347435048,-194.94126664434899,-24.68255661693057,187.40362984085994,358.37254553908446,212.08618645779052,74.32361670424818,27.000899257388646
00-0036264,Jordan Love,2024,579,85.91758448326394,44.36294318310173,41.27855843924952,-306.09203870876604,-94.11370121456483,184.16269263339615,397.0690337539753,278.276393847961,168.98665896777445,48.56028930129972
00-0036264,Jordan Love,2025,579,85.91758448326394,54.11457894682991,56.84137093284981,-437.06541138494873,-133.40199844982976,245.4527908318531,545.0685402798917,378.8547892816829,168.98665896777445,48.56028930129972
00-0036355,Justin Herbert,2024,456,26.86385552285643,39.737031818138306,42.38226324833256,-353.6610489523258,-112.43845189272135,187.70249904017788,424.6829778179948,300.1409509328992,172.1433511156714,55.47990081202294
00-0036355,Justin Herbert,2025,456,26.86385552285643,40.52853062771144,31.087885342534626,-508.8809203883774,-187.22018239554833,261.715186924683,630.5137419611855,448.9353693202313,172.1433511156714,55.47990081202294
00-0036389,Jalen Hurts,2024,538,63.33172199597199,47.277979823468996,50.05863790558183,-195.04068938575276,-48.295796906902595,142.35776057987994,286.2839695759984,190.65355748678252,135.69082503986775,32.71468594822836
00-0036389,Jalen Hurts,2025,538,63.33172199597199,47.71432624847618,48.54291784615161,-289.6554302833683,-82.34480578005414,177.93943867914277,389.54392952450206,260.2842444591969,135.69082503986775,32.71468594822836
00-0036442,Joe Burrow,2024,365,6.095037059046859,31.391304260970422,31.656354366827884,-372.03902120824233,-118.79324143344812,182.31539905961796,433.5409337299703,301.1086404930661,180.41058327423664,55.47990081202294
00-0036442,Joe Burrow,2025,365,6.095037059046859,32.57849855585596,34.164090404421685,-550.3570615491217,-186.01136808373167,258.5741439674182,607.1584442557718,444.58551205114986,180.41058327423664,55.47990081202294
00-0036945,Justin Fields,2024,370,-36.29647671384594,-13.91522393442297,-13.786991558802058,-178.7876171420958,-79.69191803555545,51.253656874194654,150.90436322960383,130.9455749097501,5.0,21.437532646040406
00-0036945,Justin Fields,2025,370,-36.29647671384594,-12.8580999961122,-10.736473496787955,-242.4291154603532,-99.81321687887817,76.71496295876193,205.81944775230866,176.5281798376401,5.0,21.437532646040406
00-0036971,Trevor Lawrence,2024,564,0.777313856267682,23.993871747700126,19.250686487733716,-367.2087699909128,-132.17674998538376,174.5293315749984,431.4315100256673,306.70608156038213,5.0,55.47990081202294
00-0036971,Trevor Lawrence,2025,564,0.777313856267682,29.54661808020858,32.1093148049211,-530.3241349092197,-176.85003671863967,236.227630098681,598.0758851096758,413.0776668173207,5.0,55.47990081202294
00-0036972,Mac Jones,2024,345,-53.75460128159115,-8.637241678523752,-10.36309827367294,-298.4705347854401,-116.81974057007207,102.62985316190625,269.08514266966944,219.44959373197833,12.727922061357855,38.06208422285919
00-0036972,Mac Jones,2025,345,-53.75460128159115,3.14741656873546,2.5913216454055092,-377.76429800905817,-147.72771311549593,153.82140155941963,383.9526489187987,301.5491146749156,12.727922061357855,38.06208422285919
00-0037013,Zach Wilson,2024,368,-101.30015159158766,-30.281530747518875,-33.53980275066588,-431.9463797288133,-185.31655123475912,128.8194684386874,382.2356871532457,314.1360196734465,180.41058327423664,55.47990081202294
00-0037013,Zach Wilson,2025,368,-101.30015159158766,-45.71724388186666,-45.945791057397464,-599.8199045988508,-257.9030456037231,167.03740027492296,492.4634597063696,424.9404458786461,180.41058327423664,55.47990081202294
00-0037077,Sam Howell,2024,612,-103.66117762751853,-26.952944115423424,-24.000426418127223,-372.6988549505177,-159.42032937637885,111.56468080908638,307.80014002272003,270.9850101854652,168.98665896777445,48.56028930129972
00-0037077,Sam Howell,2025,612,-103.66117762751853,-14.527906136536501,-9.709041580290352,-489.7217683022386,-208.09413432721394,173.47739573631256,466.67364698401633,381.5715300635265,168.98665896777445,48.56028930129972
00-0037834,Brock Purdy,2024,444,143.7535585695354,78.70615819860232,79.6909258098564,-259.80971419555976,-52.65152969368737,214.53679405448463,413.44752754781695,267.188323748172,168.98665896777445,48.56028930129972
00-0037834,Brock Purdy,2025,444,143.7535585695354,80.05092960476605,78.6026092818413,-424.21710343767217,-101.18730224998535,268.20339016613275,566.492424545245,369.3906924161181,168.98665896777445,48.56028930129972
00-0038102,Kenny Pickett,2024,324,-40.24149194660611,-4.923370705104961,-6.304523774172351,-359.5997794128151,-139.21794808381608,133.2107012001428,345.2702068677611,272.42864928395886,168.98665896777445,48.56028930129972
00-0038102,Kenny Pickett,2025,324,-40.24149194660611,-0.6707312471015272,4.63587888783464,-486.3183257476429,-192.15039788374241,185.51725938791716,491.068565387364,377.66765727165955,168.98665896777445,48.56028930129972
00-0038122,Desmond Ridder,2024,388,-33.3997411758443,8.646242737181959,4.369037187369302,-341.25095156174854,-126.13882712368009,145.4178101128646,353.32378931447766,271.5566372365447,168.98665896777445,48.56028930129972
00-0038122,Desmond Ridder,2025,388,-33.3997411758443,11.973609893031695,12.020889213648712,-472.99608359973774,-177.90521616733233,204.5043371048469,505.79009196588515,382.4095532721792,168.98665896777445,48.56028930129972
