gsis_id,player,forecast_year,att_2023,epa_2023,mean,median,q05,q25,q75,q95,iqr
00-0026498,Matthew Stafford,2024,521,55.03210787712951,37.935337519003454,38.15688106508367,-358.6563208042091,-109.58149400870568,187.46241135515584,421.00871170245745,297.04390536386154
00-0026498,Matthew Stafford,2025,521,55.03210787712951,33.424264827199,34.812908448288866,-535.0851116474523,-181.9882014038499,244.9068990379049,600.0019783217977,426.89510044175483
00-0029263,Russell Wilson,2024,447,-16.336197524169002,32.85549229731563,28.857439629996005,-336.755087905484,-105.21768450995049,177.88537283869937,400.0081285895454,283.1030573486498
00-0029263,Russell Wilson,2025,447,-16.336197524169002,40.330286878087165,45.205582873468956,-494.25483240940207,-157.33828038571903,236.86627214995758,551.9921484801922,394.2045525356766
00-0029604,Kirk Cousins,2024,311,37.10304547110406,21.04508795951487,17.862011335540885,-366.19894300139595,-133.472404166962,173.994909724772,429.8710413147092,307.46731389173397
00-0029604,Kirk Cousins,2025,311,37.10304547110406,21.503679725402478,17.129931629858085,-535.9298715817845,-191.54725801401048,236.6340721505752,569.1076776531164,428.1813301645857
00-0030565,Geno Smith,2024,499,32.440536514174156,22.104907075303707,21.509203029399742,-143.60671882342473,-45.44892345482242,88.53755067412108,192.62258763875644,133.98647412894348
00-0030565,Geno Smith,2025,499,32.440536514174156,19.499483937943808,22.550402312307792,-219.07170954815652,-66.51528155804115,107.98282979849668,256.4395114916453,174.49811135653783
00-0031280,Derek Carr,2024,548,25.91905731362155,41.044454896130716,41.91882297355116,-344.967455892296,-110.24457002389335,193.59934980132215,433.5249792510011,303.8439198252155
00-0031280,Derek Carr,2025,548,25.91905731362155,27.75903152619037,24.264109805054925,-513.8470765254474,-190.2147065931143,233.08075534445538,583.7224725265553,423.2954619375697
00-0033077,Dak Prescott,2024,590,118.68906478811256,83.82435389230659,81.40944120803414,-312.85065687001224,-65.29770368683303,237.76828018333816,487.856415350211,303.0659838701712
00-0033077,Dak Prescott,2025,590,118.68906478811256,86.49566703805246,90.25917663483233,-455.8662932562207,-117.69144793467831,300.29857246199924,622.926538082486,417.99002039667755
00-0033106,Jared Goff,2024,605,81.67725091908035,75.3467259750091,71.04095299127961,-315.33437607432535,-77.15712461345915,231.39407881299866,475.9672568850079,308.5512034264578
00-0033106,Jared Goff,2025,605,81.67725091908035,59.22345900490996,65.37359742429416,-511.2462047423834,-143.72757676509588,272.1142149309533,604.3361591848021,415.8417916960492
00-0033873,Patrick Mahomes,2024,597,50.961515690338,120.2959933867745,124.31367018539858,-271.9522035288514,-32.62389225091351,274.88058359688466,505.40500455787713,307.5044758477982
00-0033873,Patrick Mahomes,2025,597,50.961515690338,112.41896332433365,107.88321198759836,-426.6216914827968,-109.14686874595151,328.5274265332564,660.008454841402,437.6742952792079
00-0033949,Joshua Dobbs,2024,417,-80.74965717074797,-9.172862380615989,-11.342434801599422,-357.3340131144965,-139.19487895131556,120.69856821814068,354.1225500853333,259.89344716945624
00-0033949,Joshua Dobbs,2025,417,-80.74965717074797,-2.9337980263534593,-1.4110272663663026,-495.17634382984716,-187.61731418592245,189.20439194280425,477.4895453493774,376.8217061287267
00-0034796,Lamar Jackson,2024,457,58.018588350006326,68.55435690337544,71.83966294176645,-318.7658011576139,-79.40076222146878,213.94332837718684,452.58043583009663,293.3440905986556
00-0034796,Lamar Jackson,2025,457,58.018588350006326,69.81323441582173,70.24838266862483,-476.12495613560054,-138.23165889333026,286.39280699950484,609.4427903067717,424.62446589283513
00-0034855,Baker Mayfield,2024,566,50.66617850090984,46.22751402992053,46.90964825438622,-351.81279084791873,-106.89689952800241,199.94273820754808,444.23209107512366,306.83963773555047
00-0034855,Baker Mayfield,2025,566,50.66617850090984,37.31888396662409,40.570165734496726,-513.2608023078312,-170.66875268172555,259.3275975527236,572.1538514946942,429.99635023444915
00-0034857,Josh Allen,2024,579,90.5337982197074,81.2040497831451,78.78084464666185,-311.79104468538134,-75.28247124783475,232.41410261967633,488.17096920930226,307.69657386751106
00-0034857,Josh Allen,2025,579,90.5337982197074,68.36992576128848,67.89238277984762,-520.7648638608631,-143.55043128711006,290.31748545062146,635.4944635219133,433.86791673773155
00-0035289,Gardner Minshew,2024,490,-5.751706553653355,24.88621090937983,22.6238916612429,-210.47598821653472,-63.9256774344337,111.96428733900858,258.5498732094059,175.88996477344227
00-0035289,Gardner Minshew,2025,490,-5.751706553653355,28.328014824383438,28.77696232467125,-295.2583110315432,-102.59325704660012,155.12641597459154,364.2574676539043,257.7196730211916
00-0036212,Tua Tagovailoa,2024,560,123.56834628780518,83.06167172738805,87.18831995862996,-124.78723484994008,6.259945183374242,162.41204704742412,276.7901643378334,156.15210186404988
00-0036212,Tua Tagovailoa,2025,560,123.56834628780518,82.70076739386906,81.53127140704936,-195.79794187460044,-24.339494168252745,186.12303087262762,365.86397455990925,210.46252504088037
00-0036264,Jordan Love,2024,579,85.91758448326394,50.999676178217555,50.31526069111017,-294.0816469465347,-81.70717413400811,183.60730913187726,396.2661075516994,265.31448326588537
