gsis_id,player,forecast_year,att_2023,epa_2023,mean,median,q05,q25,q75,q95,iqr
00-0026498,Matthew Stafford,2024,521,55.03210787712951,45.612504075934254,45.60673946402741,-343.56204483742505,-106.00807230616506,193.48875373039658,438.8923887162921,299.49682603656163
00-0026498,Matthew Stafford,2025,521,55.03210787712951,33.33504939197377,34.98713539466573,-509.91955569206624,-162.90652123769294,230.92081686616302,565.6792410343925,393.82733810385594
00-0029263,Russell Wilson,2024,447,-16.336197524169002,41.53410384188281,42.36382731381778,-327.88542264782944,-101.20363668449211,176.52935777824285,420.39150859072964,277.73299446273495
00-0029263,Russell Wilson,2025,447,-16.336197524169002,45.25026735252943,48.22579487968343,-461.631625943888,-149.35930414343318,237.38698193581732,557.6883203100434,386.74628607925047
00-0029604,Kirk Cousins,2024,311,37.10304547110406,14.431687207150725,15.27277830372261,-365.3754510695591,-132.36380557670935,161.41063982840748,401.7480237734178,293.7744454051168
00-0029604,Kirk Cousins,2025,311,37.10304547110406,20.43679737911811,17.191061969239477,-515.7189476001827,-186.91344715141065,237.13218461604689,555.7569336016896,424.0456317674575
00-0030565,Geno Smith,2024,499,32.440536514174156,21.018744349503912,20.179745872729406,-142.57327317942136,-41.339199533516314,84.62024082764181,188.09639117122484,125.95944036115813
00-0030565,Geno Smith,2025,499,32.440536514174156,14.277559573210244,15.568553406417202,-217.28597877418756,-70.96523674225708,101.00600731808896,240.2538362686058,171.97124406034604
00-0031280,Derek Carr,2024,548,25.91905731362155,39.86514626655831,39.86988408646954,-332.3484587092788,-103.48184205298098,180.87919847959,416.2427632154857,284.361040532571
00-0031280,Derek Carr,2025,548,25.91905731362155,37.94339844766211,35.729742180970256,-494.1889456765157,-166.34764759901793,245.84731554529327,571.2968653866086,412.1949631443112
00-0033077,Dak Prescott,2024,590,118.68906478811256,83.26024947543299,84.82619164022421,-308.68918280797584,-63.98437786400455,235.9592153888329,453.62354867460795,299.94359325283745
00-0033077,Dak Prescott,2025,590,118.68906478811256,80.67946691811099,82.70599444790736,-460.43941868424844,-117.6453466975688,280.40727649771134,629.2850036961546,398.05262319528015
00-0033106,Jared Goff,2024,605,81.67725091908035,64.52675138135235,64.1757040332435,-312.91110905608264,-80.27390941019709,209.92994163450504,445.93453580879145,290.2038510447021
00-0033106,Jared Goff,2025,605,81.67725091908035,70.22842568826873,72.24154476238164,-471.41859148354087,-129.53729660904966,282.60025412715606,611.8415357259684,412.13755073620575
00-0033873,Patrick Mahomes,2024,597,50.961515690338,83.58122531288944,80.37350898665402,-298.72811562936687,-63.60719795712372,233.9888538170046,471.3486101693659,297.59605177412834
00-0033873,Patrick Mahomes,2025,597,50.961515690338,91.79633582872222,91.18219315842398,-430.04268642279834,-105.18298847094718,291.51632472723793,625.4507185346702,396.6993131981851
00-0033949,Joshua Dobbs,2024,417,-80.74965717074797,1.7271429568433139,1.9132540412611725,-340.26889256528943,-124.49030254018746,136.9707133904051,345.3258743979072,261.46101593059257
00-0033949,Joshua Dobbs,2025,417,-80.74965717074797,2.666927560794051,7.632882234102841,-481.9994084304284,-180.16783466704578,189.2174076963843,482.2447722017453,369.38524236343005
00-0034796,Lamar Jackson,2024,457,58.018588350006326,62.76913646227179,65.44525116872836,-308.37221485725723,-82.46930996361533,204.24838423349573,445.7667969921632,286.7176941971111
00-0034796,Lamar Jackson,2025,457,58.018588350006326,56.614798919585894,59.162177606422546,-478.66973045451823,-147.22771443938157,259.12395501943115,598.063445801632,406.3516694588127
00-0034855,Baker Mayfield,2024,566,50.66617850090984,42.55269997505813,42.862359907163686,-337.6737382058023,-104.40314205535891,184.86035512237015,432.15025041522944,289.26349717772905
