gsis_id,season,games_played,att_mean,att_std,epa_mean,epa_std,epa_per_att_mean,epa_per_att_std,ypa_mean,ypa_std,cmp_pct_mean,td_rate_mean,int_rate_mean,epa_min,epa_max,att_cv,epa_cv,epa_per_att_cv,games_positive_epa,pct_games_positive_epa
00-0019596,2018,19,36.578947368421055,6.167259336147478,6.126838158947368,8.941569691786468,0.1450973952903066,0.2747837753233116,7.593768104938327,1.2368207095995576,0.6577597703715684,0.045660858242690054,0.021520449738413126,-12.241975,19.845913,0.1686013343694994,1.4594101328967841,1.8937884775500782,15.0,0.7894736842105263
00-0019596,2019,17,38.23529411764706,6.210167185397526,1.6694505229411765,10.388688161289778,0.05090703108939102,0.2921481728723455,6.626170269180511,1.7750437186771815,0.6045289390835116,0.038835005226277676,0.013433312069421683,-19.551674,17.000393,0.1624197571565507,6.222818836815463,5.738857022703666,10.0,0.5882352941176471
00-0019596,2020,20,37.4,6.80866321217624,8.727546535,13.0433591244592,0.24477563917331593,0.35500587077708773,7.670081926615363,1.8503948785069286,0.647054539254937,0.06876907233136773,0.019149210734506823,-23.323347,28.041578,0.1820498185073861,1.4945046780503017,1.4503317077469549,17.0,0.85
00-0019596,2021,19,42.63157894736842,7.387756585623341,7.367671891578947,11.226881188578279,0.1773468782416804,0.2531641691936552,7.326679006324983,1.2936715781447787,0.6730671206663189,0.05886117161609711,0.015933875965845275,-16.39122,28.323593,0.17329305571215248,1.5238030891970509,1.4275084608405362,15.0,0.7894736842105263
00-0019596,2022,18,44.388888888888886,11.961403069819728,3.2345268355555556,7.241790521841912,0.0933492693789491,0.17571308872533412,6.4155139527300635,1.400782656074262,0.6646582032759558,0.03598080182094234,0.012704148767367158,-9.466742,17.324783,0.2694684045766647,2.23890259380027,1.8823188429256053,12.0,0.6666666666666666
00-0020531,2018,17,33.35294117647059,7.390375298915714,10.0408803,11.328707292087635,0.3023178142555393,0.36673139233327795,7.986532078214511,2.2824181956334195,0.7374160969556768,0.06712557635795165,0.013928963211743424,-9.376036,28.463793,0.22158091725144116,1.1282583751235074,1.2130657706571404,15.0,0.8823529411764706
00-0020531,2019,12,34.25,10.66110176806745,6.626986266666667,12.74158117851112,0.155803434788769,0.405800474123097,7.74296898333771,1.262228553611982,0.7365525587450312,0.06498612481629618,0.02520464032091939,-17.636839,21.453377,0.31127304432313724,1.9226810899851248,2.604566931873243,8.0,0.6666666666666666
00-0020531,2020,14,33.07142857142857,8.156774303176903,4.626641871214287,9.262506522990146,0.14185915763161308,0.27974705909238273,7.267506235384146,1.9448072567492265,0.6912606730056817,0.06046647254338973,0.020154465783212245,-19.410814,14.998207,0.2466411236381785,2.0019934070581415,1.97200564110809,10.0,0.7142857142857143
00-0021206,2018,4,27.5,18.77054430040145,-8.096721075000001,9.06843961565168,-0.43307753913398694,0.33628775580963965,3.5926470588235295,2.5793630737958586,0.4111111111111111,0.005555555555555556,0.028594771241830064,-21.17874,-0.8017319,0.6825652472873255,1.1200138341991335,0.7765070349344482,0.0,0.0
00-0021206,2019,2,14.5,13.435028842544403,-1.5020265000000002,3.7207339400495814,0.026789163749999997,0.28142393984127423,6.025,1.7324116139070411,0.675,0.0,0.0,-4.1329827,1.1289297,0.9265537132789243,2.4771426736143343,10.505140902028876,1.0,0.5
00-0022787,2018,1,7.0,,-2.4365082,,-0.3480726,,2.857142857142857,,0.7142857142857143,0.0,0.0,-2.4365082,-2.4365082,,,,0.0,0.0
00-0022787,2019,3,22.333333333333332,25.73583752927682,8.592335333333335,6.460726417534822,0.561900910968661,0.29439700596861884,8.596866096866096,2.3709605575527957,0.7685185185185185,0.099002849002849,0.006410256410256411,4.432924,16.035385,1.1523509341467235,0.7519173969468939,0.5239304657134437,3.0,1.0
00-0022803,2018,16,36.0,7.99166232186187,1.7395839499999999,10.505899187652371,0.09588641982894773,0.3140609843194344,7.769744263508235,2.206502074766149,0.6729592795575378,0.043635118085906886,0.017588161909789395,-15.449424,18.503647,0.22199062005171863,6.0393171526170795,3.2753437335515225,10.0,0.625
00-0022803,2019,4,36.75,8.995369179009089,-1.7450775,4.9254455972689,-0.03749581463924964,0.11700453207804246,7.345977633477633,1.942375260384399,0.6184704184704184,0.04576118326118326,0.037896825396825394,-8.681276,1.8245274,0.2447719504492269,2.8224795731243453,3.1204691297882925,2.0,0.5
00-0022824,2019,1,1.0,,4.2406874,,4.2406874,,26.0,,1.0,0.0,0.0,4.2406874,4.2406874,,,,1.0,1.0
00-0022824,2020,1,1.0,,4.0140114,,4.0140114,,26.0,,1.0,0.0,0.0,4.0140114,4.0140114,,,,1.0,1.0
