gsis_id,season,carries,rushing_yards,rushing_tds,rushing_epa,rushing_first_downs,rushing_fumbles,rushing_fumbles_lost,games,ryoe_total,ryoe_per_att,rush_pct_oe,pct_box_8plus,avg_time_to_los,ngs_efficiency,display_name,position,birth_date,rookie_season,draft_round,draft_pick,has_ngs,age,age_c,age_c2,experience,log_carries,rushing_epa_per_att,rushing_epa_lag1,carries_lag1,log_carries_lag1,ryoe_per_att_lag1,rushing_epa_per_att_lag1,pct_box_8plus_lag1,delta_rushing_epa,delta_carries,delta_ryoe_per_att
00-0023500,2016,263,1025.0,4,-24.409346072387304,50.0,2.0,1.0,16,,-0.18539554373262201,,20.912547528517113,2.3430564516129038,3.7029941291585113,Frank Gore,RB,1983-05-14,2005,3.0,65.0,0,33.30321697467488,7.820649431621568,61.16255753232276,11,5.572154032177765,-0.09281120179614945,,,,,,,,,
00-0023500,2017,261,961.0,3,-24.00169583165191,49.0,3.0,0.0,16,,-0.18539554373262201,,26.053639846743295,2.5531659574468093,3.7317065556711766,Frank Gore,RB,1983-05-14,2005,3.0,65.0,0,34.3025325119781,8.819964968924786,77.7917820530604,12,5.564520407322694,-0.0919605204277851,-24.409346072387304,263.0,5.572154032177765,-0.18539554373262201,-0.09281120179614945,20.912547528517113,0.4076502407353928,-2.0,0.0
00-0023500,2018,156,722.0,0,-3.905759742305973,25.0,1.0,0.0,14,53.095801252269894,0.3447779302095448,0.38961038961038963,12.179487179487179,2.4656164383561663,3.1297645429362877,Frank Gore,RB,1983-05-14,2005,3.0,65.0,1,35.30184804928131,9.819280506227997,96.41826965998915,13,5.049856007249537,-0.02503692142503829,-24.00169583165191,261.0,5.564520407322694,-0.18539554373262201,-0.0919605204277851,26.053639846743295,20.09593608934594,-105.0,0.5301734739421669
00-0023500,2019,166,599.0,2,-32.828230663755676,30.0,0.0,0.0,15,-64.73292994559199,-0.4020678878608198,0.32298136645962733,37.34939759036144,2.580168918918919,3.7677295492487484,Frank Gore,RB,1983-05-14,2005,3.0,65.0,1,36.30116358658453,10.818596043531215,117.04202035310927,14,5.111987788356544,-0.19776042568527516,-3.905759742305973,156.0,5.049856007249537,0.3447779302095448,-0.02503692142503829,12.179487179487179,-28.9224709214497,10.0,-0.7468458180703645
00-0023500,2020,187,653.0,2,-41.30601822136877,32.0,1.0,1.0,15,-91.79698793257273,-0.49889667354659095,0.3804347826086957,12.834224598930483,2.6082117647058833,4.132343032159266,Frank Gore,RB,1983-05-14,2005,3.0,65.0,1,37.30321697467488,11.820649431621568,139.7277529852953,15,5.231108616854587,-0.22088779797523406,-32.828230663755676,166.0,5.111987788356544,-0.4020678878608198,-0.19776042568527516,37.34939759036144,-8.477787557613091,21.0,-0.09682878568577113
00-0023564,2016,94,438.0,2,-2.6776500830653873,22.0,0.0,0.0,15,,0.09198216852442154,,10.638297872340425,2.8127926829268297,3.9798858447488596,Darren Sproles,RB,1983-06-20,2005,4.0,130.0,0,33.20191649555099,7.7193489524976755,59.58834825042696,11,4.543294782270004,-0.028485639181546674,,,,,,,,,
00-0024242,2016,98,343.0,4,-6.638351520436117,20.0,0.0,0.0,8,,0.09198216852442154,,24.489795918367346,3.0757142857142856,4.957172011661808,DeAngelo Williams,RB,1983-04-25,2006,1.0,27.0,0,33.35523613963039,7.872668596577078,61.978910831530904,10,4.584967478670572,-0.06773828082077671,,,,,,,,,
00-0025394,2017,156,529.0,2,-41.092379595956885,20.0,3.0,2.0,10,,0.07730769306389229,,39.743589743589745,2.7797819548872176,4.813100189035917,Adrian Peterson,RB,1985-03-21,2007,1.0,7.0,0,32.44900752908966,6.966439986036349,48.531286079046126,10,5.049856007249537,-0.26341268971767234,,,,,,,,,
00-0025394,2018,251,1042.0,7,-24.2657921242776,47.0,2.0,1.0,16,61.11962657804611,0.2484537665774232,0.35772357723577236,16.733067729083665,2.9177559808612443,4.30589251439539,Adrian Peterson,RB,1985-03-21,2007,1.0,7.0,1,33.44832306639288,7.965755523339567,63.45326105761482,11,5.5254529391317835,-0.0966764626465243,-41.092379595956885,156.0,5.049856007249537,0.07730769306389229,-0.26341268971767234,39.743589743589745,16.826587471679286,95.0,0.17114607351353092
00-0025394,2019,211,898.0,5,-25.582746157393558,41.0,2.0,1.0,15,101.41724292783658,0.48524996616189753,0.42105263157894735,29.383886255924168,2.8557277486910997,3.892694877505567,Adrian Peterson,RB,1985-03-21,2007,1.0,7.0,1,34.4476386036961,8.965071060642785,80.37249912237475,12,5.351858133476067,-0.12124524245210216,-24.2657921242776,251.0,5.5254529391317835,0.2484537665774232,-0.0966764626465243,16.733067729083665,-1.3169540331159588,-40.0,0.23679619958447432
