gsis_id,season,games,att,cmp,yds,td,int,epa,passing_air_yards,passing_yards_after_catch,passing_first_downs,pacr,dakota,sacks,sack_yards,passing_2pt_conversions,display_name,first_name,last_name,position,birth_date,rookie_season,draft_year,draft_round,draft_pick,college_name,age,age_c,age_c2,experience,log_att,att_per_game,sack_rate,epa_per_att,epa_per_game,cmp_pct,td_rate,int_rate,ypa,epa_lag1,att_lag1,log_att_lag1,epa_per_att_lag1,dakota_lag1,delta_epa,delta_att,games_played,att_mean,att_std,epa_mean,epa_std,epa_per_att_mean,epa_per_att_std,ypa_mean,ypa_std,cmp_pct_mean,td_rate_mean,int_rate_mean,epa_min,epa_max,att_cv,epa_cv,epa_per_att_cv,games_positive_epa,pct_games_positive_epa
00-0000104,1999,14,430,258,2920.0,17,11.0,36.24471431536284,0.0,0.0,124.0,0.0,1.3262124201954089,19.0,130.0,0,Troy Aikman,Troy,Aikman,QB,1966-11-21,1989,1989.0,1.0,1.0,UCLA; Oklahoma,32.77754962354552,4.4346518458825805,19.666136994189777,10,6.063785208687608,30.714285714285715,0.042316258351893093,0.08429003329154149,2.58890816538306,0.6,0.03953488372093023,0.02558139534883721,6.790697674418604,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0000104,2000,11,259,153,1616.0,7,14.0,-29.087923999476292,0.0,0.0,81.0,0.0,0.995403479607902,13.0,91.0,1,Troy Aikman,Troy,Aikman,QB,1966-11-21,1989,1989.0,1.0,1.0,UCLA; Oklahoma,33.779603011635864,5.436705233972926,29.55776380110861,11,5.556828061699537,23.545454545454547,0.04779411764705882,-0.11230858687056483,-2.6443567272251176,0.5907335907335908,0.02702702702702703,0.05405405405405406,6.239382239382239,36.24471431536284,430.0,6.063785208687608,0.08429003329154149,1.3262124201954089,-65.33263831483913,-171.0,,,,,,,,,,,,,,,,,,,
00-0000722,1999,11,318,167,2093.0,16,8.0,-31.08967111542982,0.0,0.0,92.0,0.0,0.8947917091709428,33.0,190.0,0,Tony Banks,Anthony,Banks,QB,1973-04-05,1996,1996.0,2.0,42.0,Michigan State; San Diego Mesa College,26.406570841889117,-1.9363269357738204,3.749362002203233,3,5.762051382780177,28.90909090909091,0.09401709401709402,-0.09776626136927616,-2.826333737766347,0.5251572327044025,0.050314465408805034,0.025157232704402517,6.581761006289308,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0000722,2000,11,272,148,1538.0,8,8.0,-16.324340479082657,0.0,0.0,82.0,0.0,0.500069629173435,20.0,152.0,1,Tony Banks,Anthony,Banks,QB,1973-04-05,1996,1996.0,2.0,42.0,Michigan State; San Diego Mesa College,27.408624229979466,-0.9342735476834712,0.8728670619010592,4,5.605802066295998,24.727272727272727,0.0684931506849315,-0.06001595764368624,-1.484030952643878,0.5441176470588235,0.029411764705882353,0.029411764705882353,5.654411764705882,-31.08967111542982,318.0,5.762051382780177,-0.09776626136927616,0.8947917091709428,14.765330636347162,-46.0,,,,,,,,,,,,,,,,,,,
00-0000722,2001,15,370,198,2386.0,10,10.0,-38.900601849324715,0.0,0.0,106.0,0.0,0.9905319946845006,29.0,173.0,1,Tony Banks,Anthony,Banks,QB,1973-04-05,1996,1996.0,2.0,42.0,Michigan State; San Diego Mesa College,28.407939767282684,0.06504198961974694,0.004230460413695269,5,5.91350300563827,24.666666666666668,0.07268170426065163,-0.10513676175493167,-2.5933734566216478,0.5351351351351351,0.02702702702702703,0.02702702702702703,6.448648648648649,-16.324340479082657,272.0,5.605802066295998,-0.06001595764368624,0.500069629173435,-22.576261370242058,98.0,,,,,,,,,,,,,,,,,,,
00-0000722,2003,6,102,61,693.0,5,3.0,3.534907384964481,0.0,0.0,34.0,0.0,0.7047563692721135,13.0,57.0,0,Tony Banks,Anthony,Banks,QB,1973-04-05,1996,1996.0,2.0,42.0,Michigan State; San Diego Mesa College,30.406570841889117,2.0636730642261796,4.258746516012669,7,4.624972813284271,17.0,0.11304347826086956,0.034655954754553735,0.5891512308274135,0.5980392156862745,0.049019607843137254,0.029411764705882353,6.794117647058823,-38.900601849324715,370.0,5.91350300563827,-0.10513676175493167,0.9905319946845006,42.4355092342892,-268.0,,,,,,,,,,,,,,,,,,,
00-0000865,1999,11,267,149,1908.0,13,7.0,-18.413684872160072,0.0,0.0,88.0,0.0,0.7190606602435541,36.0,186.0,1,Charlie Batch,Charles,Batch,QB,1974-12-05,1998,1998.0,2.0,60.0,Eastern Michigan,24.739219712525667,-3.60367806513727,12.9864955971515,1,5.58724865840025,24.272727272727273,0.1188118811881188,-0.06896511188074933,-1.673971352014552,0.5580524344569289,0.04868913857677903,0.026217228464419477,7.146067415730337,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0000865,2000,15,407,219,2469.0,13,14.0,-68.76724729121423,0.0,0.0,116.0,0.0,0.7277953604515643,38.0,226.0,0,Charlie Batch,Charles,Batch,QB,1974-12-05,1998,1998.0,2.0,60.0,Eastern Michigan,25.741273100616016,-2.601624677046921,6.7684509602194955,2,6.008813185442595,27.133333333333333,0.0853932584269663,-0.16896129555580894,-4.584483152747615,0.538083538083538,0.03194103194103194,0.0343980343980344,6.066339066339066,-18.413684872160072,267.0,5.58724865840025,-0.06896511188074933,0.7190606602435541,-50.35356241905416,140.0,,,,,,,,,,,,,,,,,,,
00-0000865,2001,10,341,198,2392.0,12,12.0,-16.08404992513503,0.0,0.0,107.0,0.0,0.7653927175210623,33.0,176.0,1,Charlie Batch,Charles,Batch,QB,1974-12-05,1998,1998.0,2.0,60.0,Eastern Michigan,26.740588637919235,-1.6023091397437028,2.567394579306205,3,5.831882477283517,34.1,0.08823529411764706,-0.047167301833240555,-1.608404992513503,0.5806451612903226,0.03519061583577713,0.03519061583577713,7.0146627565982405,-68.76724729121423,407.0,6.008813185442595,-0.16896129555580894,0.7277953604515643,52.6831973660792,-66.0,,,,,,,,,,,,,,,,,,,
00-0001218,1999,16,565,340,4413.0,36,14.0,85.10157745928421,0.0,0.0,206.0,0.0,1.9764118714752077,49.0,274.0,0,Steve Beuerlein,Stephen,Beuerlein,QB,1965-03-07,1988,1987.0,4.0,110.0,Notre Dame,34.48596851471595,6.143070737053012,37.73731808043704,11,6.336825731146441,35.3125,0.07980456026058631,0.15062226098988357,5.318848591205263,0.6017699115044248,0.06371681415929203,0.024778761061946902,7.810619469026548,,,,,,,,,,,,,,,,,,,,,,,,,,
