feature,importance
epa_per_att,0.14186095
dakota,0.08679681
epa_lag1,0.07261743
log_att_lag1,0.04902545
log_att,0.046250667
att_cv,0.04472205
td_rate,0.044077057
epa_per_att_lag1,0.040402334
epa_max,0.03584249
epa_std,0.03535551
ypa,0.03513515
sack_rate,0.03400319
cmp_pct,0.033447567
delta_epa,0.033034526
int_rate,0.03266473
age_c,0.03163347
epa_per_att_std,0.03027587
epa_min,0.030215064
pacr,0.029797623
experience,0.029291999
age_c2,0.028588418
delta_att,0.028048482
pct_games_positive_epa,0.02691311
