gsis_id,display_name,season,att,epa,xgb_forecast_2024
00-0026498,Matthew Stafford,2023,521,55.03210787712951,26.44108
00-0029263,Russell Wilson,2023,447,-16.336197524169002,8.403719
00-0029604,Kirk Cousins,2023,311,37.10304547110406,99.50175
00-0030565,Geno Smith,2023,499,32.440536514174156,41.13462
00-0031280,Derek Carr,2023,548,25.91905731362155,57.182575
00-0033077,Dak Prescott,2023,590,118.68906478811256,35.412724
00-0033106,Jared Goff,2023,605,81.67725091908035,38.81253
00-0033873,Patrick Mahomes,2023,597,50.961515690338,48.120167
00-0033949,Joshua Dobbs,2023,417,-80.74965717074797,8.81268
00-0034796,Lamar Jackson,2023,457,58.018588350006326,87.0781
00-0034855,Baker Mayfield,2023,566,50.66617850090984,7.3289695
00-0034857,Josh Allen,2023,579,90.5337982197074,84.14997
00-0035289,Gardner Minshew,2023,490,-5.751706553653355,19.178076
00-0036212,Tua Tagovailoa,2023,560,123.56834628780518,63.10034
00-0036264,Jordan Love,2023,579,85.91758448326394,55.715427
00-0036355,Justin Herbert,2023,456,26.86385552285643,87.50942
00-0036389,Jalen Hurts,2023,538,63.33172199597199,56.193916
00-0036442,Joe Burrow,2023,365,6.095037059046859,19.474907
00-0036945,Justin Fields,2023,370,-36.29647671384594,21.953577
00-0036971,Trevor Lawrence,2023,564,0.777313856267682,47.52915
00-0036972,Mac Jones,2023,345,-53.75460128159115,10.78835
00-0037013,Zach Wilson,2023,368,-101.30015159158766,2.218338
00-0037077,Sam Howell,2023,612,-103.66117762751853,-44.550884
00-0037834,Brock Purdy,2023,444,143.7535585695354,72.32051
00-0038102,Kenny Pickett,2023,324,-40.24149194660611,-16.33898
00-0038122,Desmond Ridder,2023,388,-33.3997411758443,1.2193005
00-0038579,Aidan O'Connell,2023,343,-16.852607789448424,2.5125608
00-0039150,Bryce Young,2023,527,-160.3264418747372,-10.204321
00-0039163,C.J. Stroud,2023,499,64.82617261070857,46.54514
