gsis_id,season,games,att,cmp,yds,td,int,epa,passing_air_yards,passing_yards_after_catch,passing_first_downs,pacr,dakota,sacks,sack_yards,passing_2pt_conversions
00-0000098,2000,1,1,1,13.0,0,0.0,2.7400032459991053,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0000104,1999,14,430,258,2920.0,17,11.0,36.24471431536284,0.0,0.0,124.0,0.0,1.3262124201954089,19.0,130.0,0
00-0000104,2000,11,259,153,1616.0,7,14.0,-29.087923999476292,0.0,0.0,81.0,0.0,0.995403479607902,13.0,91.0,1
00-0000108,2006,1,1,1,11.0,0,0.0,-0.7023373222327791,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0
00-0000108,2011,1,1,1,14.0,1,0.0,4.22313360706903,9.0,5.0,1.0,1.5555555555555556,0.0,0.0,0.0,0
00-0000210,2002,16,2,1,5.0,1,0.0,1.2199583678739145,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0000251,2000,13,1,0,0.0,0,0.0,-2.6330820985604078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0000339,2002,16,1,0,0.0,0,0.0,-0.38253058900590986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0000339,2003,15,1,0,0.0,0,0.0,-0.40788865863578394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0000339,2004,11,1,1,26.0,1,0.0,3.5796635741135105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0000722,1999,11,318,167,2093.0,16,8.0,-31.08967111542982,0.0,0.0,92.0,0.0,0.8947917091709428,33.0,190.0,0
00-0000722,2000,11,272,148,1538.0,8,8.0,-16.324340479082657,0.0,0.0,82.0,0.0,0.500069629173435,20.0,152.0,1
00-0000722,2001,15,370,198,2386.0,10,10.0,-38.900601849324715,0.0,0.0,106.0,0.0,0.9905319946845006,29.0,173.0,1
00-0000722,2003,6,102,61,693.0,5,3.0,3.534907384964481,0.0,0.0,34.0,0.0,0.7047563692721135,13.0,57.0,0
00-0000722,2004,2,2,1,16.0,0,0.0,1.0915052876225673,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0000722,2005,1,25,14,173.0,1,2.0,-3.6937787861383553,0.0,0.0,7.0,0.0,0.032035826245516874,0.0,0.0,0
00-0000745,2005,16,1,0,0.0,0,0.0,-0.5911076056072488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0000754,2003,1,1,1,3.0,0,0.0,2.2918548880843446,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0000849,2004,3,1,0,0.0,0,0.0,-0.7097629196941853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0000865,1999,11,267,149,1908.0,13,7.0,-18.413684872160072,0.0,0.0,88.0,0.0,0.7190606602435541,36.0,186.0,1
00-0000865,2000,15,407,219,2469.0,13,14.0,-68.76724729121423,0.0,0.0,116.0,0.0,0.7277953604515643,38.0,226.0,0
00-0000865,2001,10,341,198,2392.0,12,12.0,-16.08404992513503,0.0,0.0,107.0,0.0,0.7653927175210623,33.0,176.0,1
00-0000865,2003,2,8,4,47.0,0,0.0,-4.562210484058596,0.0,0.0,2.0,0.0,0.03250579356329309,1.0,2.0,0
00-0000865,2005,3,36,23,246.0,1,1.0,3.2456779581832125,0.0,0.0,12.0,0.0,0.1971660675550305,1.0,6.0,0
00-0000865,2006,7,52,30,477.0,5,0.0,23.801425924466457,557.0,200.0,21.0,8.280975731204833,0.473904361154196,3.0,13.0,0
00-0000865,2007,7,36,17,232.0,2,3.0,-4.578194802407774,432.0,105.0,10.0,0.8149956408020924,0.011639603092516465,0.0,0.0,0
00-0000865,2009,1,2,1,17.0,0,0.0,1.4498486551456153,18.0,2.0,1.0,0.9444444444444444,0.0,0.0,0.0,0
00-0000865,2010,3,49,29,352.0,3,3.0,-2.5433514598953764,538.0,125.0,13.0,1.9565253789272044,0.3814277032131644,4.0,21.0,0
00-0000865,2011,3,24,15,208.0,0,1.0,-0.096866613965231,189.0,92.0,9.0,1.149171270718232,0.15443718039563778,2.0,10.0,0
00-0000865,2012,2,70,45,475.0,1,4.0,-1.6460317005355627,663.0,257.0,22.0,1.42999126256007,0.16061687628057486,3.0,12.0,0
00-0001101,2003,1,1,0,0.0,0,0.0,-3.269515826017596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0001157,2000,1,1,0,0.0,0,1.0,-1.9750639530830085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0001157,2001,1,1,0,0.0,0,0.0,-2.3980245837010443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0001157,2003,1,1,0,0.0,0,0.0,-2.402341314125806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0001215,1999,16,1,1,21.0,1,0.0,2.988065069541335,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0001215,2000,16,2,0,0.0,0,1.0,-3.8063919069827534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0001215,2001,11,2,1,32.0,1,0.0,3.924561800202355,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0001215,2004,14,1,1,10.0,1,0.0,2.7614533987944014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0001218,1999,16,565,340,4413.0,36,14.0,85.10157745928421,0.0,0.0,206.0,0.0,1.9764118714752077,49.0,274.0,0
00-0001218,2000,16,524,318,3691.0,19,18.0,5.2395491191044465,0.0,0.0,194.0,0.0,1.3079860390303812,60.0,326.0,0
00-0001218,2002,5,117,68,925.0,6,5.0,4.459464418372546,0.0,0.0,43.0,0.0,0.27275748986474735,12.0,78.0,0
00-0001218,2003,4,63,33,389.0,2,5.0,-22.912122739389407,0.0,0.0,18.0,0.0,0.16595489527400975,9.0,60.0,0
00-0001272,2000,7,9,3,80.0,1,1.0,5.511006703134626,0.0,0.0,3.0,0.0,0.024103252967091544,0.0,0.0,0
00-0001335,1999,14,383,211,2630.0,15,12.0,-18.441965465740317,0.0,0.0,123.0,0.0,1.5960134349103088,30.0,168.0,2
00-0001335,2000,11,296,180,2004.0,13,8.0,13.06733767429901,0.0,0.0,100.0,0.0,1.033350134336773,24.0,150.0,0
00-0001335,2001,1,1,0,0.0,0,0.0,-0.4833737062290311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0001335,2002,10,295,165,2084.0,13,11.0,-9.411252864290573,0.0,0.0,96.0,0.0,0.701439086131793,30.0,203.0,1
00-0001335,2003,13,368,208,2252.0,13,15.0,-74.02492890316967,0.0,0.0,96.0,0.0,0.7005193059985586,19.0,132.0,0
00-0001335,2004,3,37,18,126.0,1,1.0,-19.19589163188357,0.0,0.0,7.0,0.0,0.06812309896592732,2.0,17.0,0
00-0001335,2005,2,9,8,55.0,1,0.0,7.446230205241591,0.0,0.0,4.0,0.0,0.28581538843068593,0.0,0.0,0
00-0001361,1999,16,533,303,3969.0,19,21.0,-26.075212661221386,0.0,0.0,183.0,0.0,1.2627904737066205,55.0,342.0,0
00-0001361,2000,16,527,309,3247.0,17,13.0,-10.457809913043382,0.0,0.0,162.0,0.0,1.185032751398211,45.0,264.0,0
00-0001361,2001,2,66,40,400.0,2,2.0,-3.839359945792239,0.0,0.0,18.0,0.0,0.12334351838313162,5.0,21.0,0
00-0001361,2002,16,610,375,4359.0,24,15.0,58.708365346245095,0.0,0.0,218.0,0.0,1.612970361410607,54.0,369.0,0
00-0001361,2003,16,471,274,2860.0,11,12.0,-64.0501087589494,0.0,0.0,142.0,0.0,1.4108008718098464,49.0,371.0,0
00-0001361,2004,16,449,256,2932.0,20,16.0,-16.288707602647168,0.0,0.0,144.0,0.0,1.364555928837729,38.0,230.0,0
00-0001361,2005,16,499,300,3639.0,23,17.0,49.63625503462231,0.0,0.0,177.0,0.0,1.7343174670338057,49.0,295.0,1
00-0001361,2006,6,169,90,1164.0,7,8.0,-9.1035155299807,1242.0,444.0,54.0,6.063685200060537,0.466299429190966,16.0,107.0,0
00-0001471,1999,1,1,0,0.0,0,0.0,-0.8757188688032329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0001477,2001,16,2,1,34.0,1,0.0,4.049063999322243,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0001477,2002,16,5,1,44.0,1,0.0,1.91251869223197,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0001477,2004,15,1,1,48.0,0,0.0,2.891253413981758,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0001477,2005,13,1,0,0.0,0,0.0,-0.5991740692406893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0001477,2007,15,1,0,0.0,0,0.0,-0.011265960289165378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0001545,2001,5,89,51,795.0,8,4.0,15.042007388772058,0.0,0.0,32.0,0.0,0.47814789123795004,4.0,27.0,0
00-0001545,2002,1,6,3,85.0,0,0.0,-2.5102824595524,0.0,0.0,2.0,0.0,0.024992722084694295,2.0,22.0,0
00-0001545,2003,3,13,7,81.0,1,0.0,2.85815492447,0.0,0.0,4.0,0.0,0.2335403763644864,1.0,7.0,1
