gsis_id,display_name,first_name,last_name,position,position_group,birth_date,rookie_season,draft_year,draft_round,draft_pick,college_name,height,weight,pfr_id
00-0028830,Isaako Aaitui,Isaako,Aaitui,NT,DL,1987-01-25,2011,,,,UNLV,76.0,307.0,AaitIs00
00-0038389,Israel Abanikanda,Israel,Abanikanda,RB,RB,2002-10-05,2023,2023.0,5.0,143.0,Pittsburgh,70.0,225.0,AbanIs00
00-0024644,Jon Abbate,Jon,Abbate,LB,LB,1985-06-18,2007,,,,Wake Forest,71.0,245.0,
ABB498348,Vince Abbott,Vincent,Abbott,K,SPEC,1958-05-31,1987,,,,California State-Fullerton; Washington,71.0,207.0,abbotvin01
00-0031021,Jared Abbrederis,Jared,Abbrederis,WR,WR,1990-12-17,2014,2014.0,5.0,176.0,Wisconsin,73.0,195.0,AbbrJa00
00-0032860,Mehdi Abdesmad,Mehdi,Abdesmad,DE,DL,1991-09-28,2016,,,,Boston College,78.0,284.0,AbdeMe00
00-0028564,Isa Abdul-Quddus,Isa,Abdul-Quddus,S,DB,1989-08-03,2011,,,,Fordham,73.0,196.0,AbduIs00
00-0032104,Ameer Abdullah,Ameer,Abdullah,RB,RB,1993-06-13,2015,2015.0,2.0,54.0,Nebraska,69.0,203.0,AbduAm00
00-0023663,Hamza Abdullah,Hamza,Abdullah,DB,DB,1983-08-20,2005,2005.0,7.0,231.0,Washington State,74.0,216.0,AbduHa20
00-0025940,Husain Abdullah,Husain,Abdullah,FS,DB,1985-07-27,2008,,,,Washington State,72.0,204.0,AbduHu99
00-0021957,Khalid Abdullah,Khalid,Abdullah,LB,LB,1979-03-06,2003,2003.0,5.0,136.0,Mars Hill,74.0,227.0,AbduKh20
00-0000007,Rabih Abdullah,Rabih,Abdullah,RB,RB,1975-04-27,1998,,,,Lehigh University,72.0,235.0,AbduRa00
00-0000008,Rahim Abdullah,Rahim,Abdullah,OLB,LB,1976-03-22,1999,1999.0,2.0,45.0,Clemson,77.0,233.0,AbduRa20
00-0038580,Yasir Abdullah,Yasir,Abdullah,LB,LB,2000-04-12,2023,2023.0,5.0,136.0,Louisville,73.0,240.0,AbduYa00
ABE498348,Walter Abercrombie,Walter,Abercrombie,RB,RB,1959-09-26,1982,1982.0,1.0,12.0,Baylor,72.0,207.0,AberWa00
00-0035098,Micah Abernathy,Micah,Abernathy,DB,DB,1997-02-10,2022,,,,Tennessee,72.0,196.0,AberMi00
00-0023322,Rob Abiamiri,Robert,Abiamiri,TE,TE,1982-12-21,2006,,,,Maryland,74.0,240.0,
00-0025444,Victor Abiamiri,Victor,Abiamiri,DE,DL,1986-01-14,2007,2007.0,2.0,57.0,Notre Dame,76.0,267.0,AbiaVi99
00-0022830,Derek Abney,Derek,Abney,WR,WR,1980-12-19,2004,,,,Kentucky,69.0,180.0,
00-0041445,Keith Abney II,Keith,Abney,CB,DB,2005-01-11,2026,,,,Arizona State,69.0,187.0,AbneKe00
00-0030083,Oday Aboushi,Oday,Aboushi,G,OL,1991-06-05,2013,2013.0,5.0,141.0,Virginia,77.0,315.0,AbouOd00
00-0000016,Clifton Abraham,Clifton,Abraham,DB,DB,1971-12-09,1995,1995.0,5.0,143.0,Florida State,69.0,185.0,AbraCl20
00-0019546,John Abraham,John,Abraham,OLB,LB,1978-05-06,2000,2000.0,1.0,13.0,South Carolina,76.0,263.0,AbraJo00
00-0039403,Micah Abraham,Micah,Abraham,DB,DB,2000-12-11,2024,2024.0,6.0,201.0,Marshall,71.0,185.0,AbraMi00
00-0000017,Donnie Abraham,Nathaniel,Abraham,CB,DB,1973-10-08,1996,1996.0,3.0,71.0,East Tennessee State,70.0,192.0,AbraDo00
ABR083058,Robert Abraham,Robert,Abraham,LB,LB,1960-07-13,1982,1982.0,3.0,77.0,N.C. State,73.0,228.0,AbraRo20
00-0035693,Johnathan Abram,Johnathan,Abram,DB,DB,1996-10-25,2019,2019.0,1.0,27.0,Mississippi State,71.0,205.0,AbraJo01
ABR166116,Danny Abramowicz,Daniel,Abramowicz,WR,WR,1945-07-13,1974,,,,"Xavier University, Ohio",73.0,195.0,AbraDa00
ABR249174,Sid Abramowitz,Sidney,Abramowitz,OT,OL,1960-05-21,1983,1983.0,5.0,113.0,Tulsa; Air Force,78.0,280.0,AbraSi20
00-0035774,Delrick Abrams,Delrick,Abrams,DB,DB,1997-04-04,2020,,,,Colorado,75.0,180.0,AbraDe00
ABR390978,Josh Abrams,Josh,Abrams,RB,RB,1986-01-18,2008,,,,Ohio,72.0,195.0,
00-0000025,Kevin Abrams,Kevin,Abrams,CB,DB,1974-02-28,1997,1997.0,2.0,54.0,Syracuse,68.0,170.0,AbraKe20
ABR426540,Bobby Abrams,Robert,Abrams,LB,LB,1967-04-12,1990,,,,Michigan,75.0,242.0,AbraBo20
00-0039371,Kris Abrams-Draine,Kris,Abrams-Draine,CB,DB,2001-10-04,2024,2024.0,5.0,145.0,Missouri,71.0,178.0,AbraKr00
00-0039040,De'Von Achane,De'Von,Achane,RB,RB,2001-10-13,2023,2023.0,3.0,84.0,Texas A&M,69.0,191.0,AchaDe00
ACH207645,Steve Ache,Stephen,Ache,LB,LB,1962-03-16,1987,,,,Missouri State; Triton CC IL; Coffeyville CC,75.0,229.0,AcheSt20
